Rank,name,pop2022,pop2021,GrowthRate,area,Density
78,Burundi,12624.84,12255.433,1.0301,27834,453.5762
79,Tunisia,12046.656,11935.766,1.0093,163610,73.6303
80,Bolivia,11992.656,11832.94,1.0135,1098581,10.9165
81,Haiti,11680.283,11541.685,1.012,27750,420.9111
82,Belgium,11668.278,11632.326,1.0031,30528,382.2156
83,South Sudan,11618.511,11381.378,1.0208,619745,18.7472
84,Cuba,11305.652,11317.505,0.999,109884,102.8872
85,Dominican Republic,11056.37,10953.703,1.0094,48671,227.1655
86,Czech Republic,10736.784,10724.555,1.0011,78865,136.1413
87,Greece,10316.637,10370.744,0.9948,131990,78.1623
88,Jordan,10300.869,10269.021,1.0031,89342,115.297
89,Azerbaijan,10300.205,10223.342,1.0075,86600,118.94
90,Honduras,10221.247,10062.991,1.0157,112492,90.862
91,Sweden,10218.971,10160.169,1.0058,450295,22.6939
92,Portugal,10140.57,10167.925,0.9973,92090,110.1159
93,United Arab Emirates,10081.785,9991.089,1.0091,83600,120.5955
94,Tajikistan,9957.464,9749.627,1.0213,143100,69.584
95,Hungary,9606.259,9634.164,0.9971,93028,103.262
96,Belarus,9432.8,9442.862,0.9989,207600,45.4374
97,Papua New Guinea,9292.169,9119.01,1.019,462840,20.0764
98,Austria,9066.71,9043.07,1.0026,83871,108.103
99,Israel,8922.892,8789.774,1.0151,20770,429.6048
100,Switzerland,8773.637,8715.494,1.0067,41284,212.5191
101,Togo,8680.837,8478.25,1.0239,56785,152.872
102,Serbia,8653.016,8697.55,0.9949,88361,97.928
103,Sierra Leone,8306.436,8141.343,1.0203,71740,115.7853
104,Hong Kong,7604.299,7552.81,1.0068,1104,6887.952
105,Laos,7481.023,7379.358,1.0138,236800,31.5922
106,Paraguay,7305.843,7219.638,1.0119,406752,17.9614
107,Libya,7040.745,6958.532,1.0118,1759540,4.0015
108,Bulgaria,6844.597,6896.663,0.9925,110879,61.7303
109,Nicaragua,6779.1,6702.385,1.0114,130373,51.9977
110,Kyrgyzstan,6728.271,6628.356,1.0151,199951,33.6496
111,Lebanon,6684.849,6769.146,0.9875,10452,639.5761
112,El Salvador,6550.389,6518.499,1.0049,21041,311.3155
113,Turkmenistan,6201.943,6117.924,1.0137,488100,12.7063
114,Singapore,5943.546,5896.686,1.0079,710,8371.1915
115,Denmark,5834.95,5813.298,1.0037,43094,135.4005
116,Republic of the Congo,5797.805,5657.013,1.0249,342000,16.9526
117,Finland,5554.96,5548.36,1.0012,338424,16.4142
118,Norway,5511.37,5465.63,1.0084,323802,17.0208
119,Slovakia,5460.193,5460.721,0.9999,49037,111.3484
120,Palestine,5345.541,5222.748,1.0235,6220,859.4117
121,Oman,5323.993,5223.375,1.0193,309500,17.2019
122,Liberia,5305.117,5180.203,1.0241,111369,47.6355
123,Costa Rica,5182.354,5139.052,1.0084,51100,101.4159
124,Ireland,5020.199,4982.907,1.0075,70273,71.4385
125,Central African Republic,5016.678,4919.981,1.0197,622984,8.0527
126,Mauritania,4901.981,4775.119,1.0266,1030700,4.756
127,New Zealand,4898.203,4860.643,1.0077,270467,18.1102
128,Panama,4446.964,4381.579,1.0149,75417,58.965
129,Kuwait,4380.326,4328.55,1.012,17818,245.8371
130,Croatia,4059.286,4081.651,0.9945,56594,71.7264
131,Moldova,4013.171,4024.019,0.9973,33846,118.5715
132,Georgia,3968.738,3979.765,0.9972,69700,56.9403
133,Eritrea,3662.244,3601.467,1.0169,117600,31.1415
134,Uruguay,3496.016,3485.151,1.0031,181034,19.3114
135,Mongolia,3378.078,3329.289,1.0147,1564110,2.1597
136,Bosnia and Herzegovina,3249.317,3263.466,0.9957,51209,63.4521
137,Jamaica,2985.094,2973.463,1.0039,10991,271.5944
138,Qatar,2979.915,2930.528,1.0169,11586,257.1996
139,Armenia,2971.966,2968.127,1.0013,29743,99.9215
140,Albania,2866.374,2872.933,0.9977,28748,99.7069
141,Puerto Rico,2829.812,2828.255,1.0006,8870,319.0318
142,Lithuania,2661.708,2689.862,0.9895,65300,40.7612
143,Namibia,2633.874,2587.344,1.018,825615,3.1902
144,Gambia,2558.482,2486.945,1.0288,10689,239.3565
145,Botswana,2441.162,2397.241,1.0183,582000,4.1944
146,Gabon,2331.533,2278.825,1.0231,267668,8.7105
147,Lesotho,2175.699,2159.079,1.0077,30355,71.6751
148,North Macedonia,2081.304,2082.658,0.9993,25713,80.9436
149,Slovenia,2078.034,2078.724,0.9997,20273,102.5025
150,Guinea-Bissau,2063.367,2015.494,1.0238,36125,57.1174
151,Latvia,1848.837,1866.942,0.9903,64559,28.6379
152,Bahrain,1783.983,1748.296,1.0204,765,2332.0039
153,Equatorial Guinea,1496.662,1449.896,1.0323,28051,53.355
154,Trinidad and Tobago,1406.585,1403.375,1.0023,5130,274.1881
155,Timor-Leste,1369.429,1343.873,1.019,14874,92.0686
156,Estonia,1321.91,1325.185,0.9975,45227,29.2283
157,Mauritius,1274.727,1273.433,1.001,2040,624.8662
158,Cyprus,1223.387,1215.584,1.0064,9251,132.2438
159,Eswatini,1184.817,1172.362,1.0106,17364,68.2341
160,Djibouti,1016.097,1002.187,1.0139,23200,43.7973
161,Fiji,909.466,902.906,1.0073,18272,49.7738
162,Reunion,908.061,901.686,1.0071,2511,361.6332
163,Comoros,907.419,888.451,1.0213,1862,487.3357
164,Guyana,794.045,790.326,1.0047,214969,3.6938
165,Bhutan,787.941,779.898,1.0103,38394,20.5225
166,Solomon Islands,721.159,703.996,1.0244,28896,24.9571
167,Luxembourg,642.371,634.814,1.0119,2586,248.4033
168,Montenegro,627.95,628.053,0.9998,13812,45.4641
169,Western Sahara,626.161,611.875,1.0233,266000,2.354
170,Suriname,596.831,591.8,1.0085,163820,3.6432
171,Cape Verde,567.678,561.898,1.0103,4033,140.7582
172,Maldives,540.985,543.617,0.9952,300,1803.2833
173,Brunei,445.431,441.532,1.0088,5765,77.2647
174,Malta,444.033,442.784,1.0028,316,1405.1677
175,Belize,412.19,404.914,1.018,22966,17.9478
176,Bahamas,400.516,396.913,1.0091,13943,28.7252
177,Guadeloupe,399.794,400.02,0.9994,1628,245.5737
178,Martinique,374.087,374.745,0.9982,1128,331.6374
179,Iceland,345.393,343.353,1.0059,103000,3.3533
180,Vanuatu,321.832,314.464,1.0234,12189,26.4035
181,French Guiana,314.169,306.448,1.0252,83534,3.761
182,Barbados,288.023,287.711,1.0011,430,669.8209
183,Mayotte,286.259,279.515,1.0241,374,765.3984
184,Sao Tome and Principe,227.679,223.368,1.0193,964,236.1815
185,Samoa,202.239,200.149,1.0104,2842,71.1608
186,Saint Lucia,185.113,184.4,1.0039,616,300.5081
187,Kiribati,123.419,121.392,1.0167,811,152.1813
188,Micronesia,117.489,116.254,1.0106,702,167.3632
189,Grenada,113.475,113.021,1.004,344,329.8692
190,Saint Vincent and the Grenadines,111.551,111.263,1.0026,389,286.7635
191,Tonga,107.749,106.76,1.0093,747,144.2423
192,Antigua and Barbuda,99.509,98.731,1.0079,442,225.1335
193,Seychelles,99.426,98.908,1.0052,452,219.969
194,Andorra,77.463,77.355,1.0014,468,165.5192
195,Dominica,72.344,72.167,1.0025,751,96.3302
196,Marshall Islands,60.057,59.61,1.0075,181,331.8066
197,Greenland,56.973,56.877,1.0017,2166086,0.0263
198,Saint Kitts and Nevis,53.871,53.544,1.0061,261,206.4023
199,Monaco,39.783,39.511,1.0069,2,19891.5
200,Liechtenstein,38.387,38.25,1.0036,160,239.9187
201,San Marino,34.085,34.017,1.002,61,558.7705
202,Palau,18.233,18.169,1.0035,459,39.7233
203,Tuvalu,12.066,11.931,1.0113,26,464.0769
204,Nauru,10.903,10.876,1.0025,21,519.1905
205,Vatican City,0.799,0.8,0.9988,1,799
